Store,Country,State,City,Category,Clothing Type,Store Number,Postal Code,Store Type,Store Open Date,Selling Area Size (sq ft),Store Manager,Manager ID,Store Address,Contact Information,Operating Hours,Staff Count,Parking Availability,Security Features,Order ID,Order Date,Month,Customer ID,Customer Name,Product ID,Price,Quantity,Sales Profit
Zudio,India,Karnataka,Vadodara,Women,Pants,34,431715,Owned,2021-03-26,1200,Donna Mccoy,M81,"0699 Jose Rapid Suite 698 New Ryan, WY 97159",4672463976,10 AM - 9 PM,19,Available,None,70815,2024-03-09,March,154791,Kelly Smith DDS,426,1132,4,1811.2
Zudio,India,Maharashtra,Chennai,Kids,Hoodies,2,417599,Owned,2024-07-16,1000,Dennis Price,M28,"718 Alyssa Vista North Jacobburgh, CT 22192",936-851-8073,10 AM - 9 PM,5,Available,Alarm,57277,2024-06-28,June,530727,Keith Smith,497,908,3,1089.6000000000001
Zudio,India,Rajasthan,Jalna,Women,Jeans,4,410819,Owned,2021-10-02,950,Daisy Hayes,M36,USCGC Jacobson FPO AA 42980,485-650-2727,10 AM - 9 PM,13,Not Available,Alarm,73749,2024-03-09,March,175054,John Jordan,718,2074,4,3318.4
Zudio,India,Uttar Pradesh,Ahmedabad,Men,Shirts,90,405261,Owned,2024-07-10,1100,Lori Brooks,M71,"4434 Rivers Port Suite 846 Morenoton, KY 40611",600-488-5798x21810,10 AM - 7 PM,11,Available,CCTV,49960,2024-06-08,June,310195,Ashley Green,314,1265,8,4048.0
Zudio,India,Karnataka,Kanpur,Men,Pants,96,412079,Rented,2020-09-12,950,Dr. Christina Clarke DVM,M98,"284 Samantha Mountain Suite 056 Michaelbury, OH 87031",(342)569-5507x0146,11 AM - 8 PM,4,Available,"CCTV, Alarm",11658,2024-11-23,November,524474,Daniel Jones,427,1220,7,3416.0
Zudio,India,Rajasthan,Bhopal,Men,Skirts,24,412143,Rented,2024-01-13,1000,Jennifer Morales,M38,Unit 4249 Box 1047 DPO AA 06604,(099)630-9165x78598,11 AM - 8 PM,5,Not Available,None,99582,2024-07-26,July,857663,Michelle Davenport,788,2667,8,8534.4
Zudio,India,Gujarat,Bengaluru,Women,Shirts,92,423320,Rented,2022-10-23,1400,Katie Hernandez,M98,"207 Denise Cliff Apt. 335 Port Scottshire, GA 88867",816-566-1517,10 AM - 9 PM,19,Available,Alarm,32188,2024-04-18,April,262042,Jennifer Barrera,919,820,4,1312.0
Zudio,India,Uttar Pradesh,Jammu,Kids,Shoes,63,428521,Owned,2023-06-19,1200,Darren Cole,M72,"8323 Carmen Port Apt. 220 Johnsonmouth, DC 16138",+1-699-870-2801x312,11 AM - 8 PM,14,Not Available,Alarm,83796,2024-10-27,October,906683,Marc Watson,522,1757,7,4919.6
Zudio,India,Maharashtra,Thane,Men,Sweaters,61,425960,Owned,2023-02-17,1300,Anthony Brown,M28,"359 Annette River Amandamouth, PA 61197",+1-293-419-2220x0964,11 AM - 8 PM,10,Not Available,None,12957,2024-03-11,March,129790,Yvette Mendez,305,1463,6,3511.2000000000003
Zudio,India,Gujarat,Chhattisgarh,Women,Shoes,39,414950,Owned,2023-03-05,1300,Thomas Mora,M22,"59535 Woods Knolls Apt. 126 Debramouth, AZ 11206",497-259-4627x777,10 AM - 9 PM,10,Not Available,"CCTV, Alarm",67889,2024-08-23,August,558263,Parker Jones,537,1109,2,887.2
Zudio,India,Rajasthan,Kanpur,Women,Jackets,95,420930,Owned,2021-01-02,1100,Monique Harris,M37,USCGC Williams FPO AA 72236,241-322-7659,9 AM - 8 PM,7,Available,"CCTV, Alarm",68727,2024-01-24,January,947806,Susan Hill,675,1740,6,4176.0
Zudio,India,Rajasthan,Kochi,Men,Pants,67,418165,Rented,2020-03-01,1300,Sarah Roman,M50,"7384 Christopher Dale Apt. 560 Kathrynmouth, MD 67851",393-522-7379x8476,10 AM - 7 PM,10,Not Available,Alarm,49977,2024-08-26,August,505111,Michaela King,452,542,5,1084.0
Zudio,India,Delhi,Agra,Men,Jeans,37,430428,Rented,2020-11-04,800,Joseph Stone,M43,"00455 Stacy Squares Apt. 796 Jessehaven, OH 75749",295.319.0559x183,11 AM - 8 PM,17,Available,"CCTV, Alarm",20097,2024-08-16,August,725116,Theresa Cook,894,2483,5,4966.0
Zudio,India,Rajasthan,Nagpur,Men,T-shirts,100,403752,Rented,2024-06-19,950,Vickie Willis,M21,Unit 1980 Box 0163 DPO AP 36576,+1-633-653-4033x4040,10 AM - 9 PM,3,Not Available,"CCTV, Alarm",61618,2024-11-16,November,358560,Edward Christensen,432,511,5,1022.0
Zudio,India,Gujarat,Solapur,Kids,Shoes,1,434614,Rented,2024-01-01,1100,Jennifer Reed,M32,"7718 Robert Mount Apt. 731 South Suzanne, NV 25858",+1-174-654-4386x7819,10 AM - 7 PM,8,Available,Alarm,56848,2024-06-23,June,104208,Melissa Watkins,267,2759,4,4414.400000000001
Zudio,India,Maharashtra,Ranchi,Women,Jeans,100,439453,Owned,2021-01-30,800,Cody Morris,M65,"266 Salazar Inlet Apt. 832 Novaktown, UT 58314",001-726-607-8926x04228,11 AM - 8 PM,4,Not Available,CCTV,39771,2024-01-09,January,488625,John Sutton,785,1024,5,2048.0
Zudio,India,Karnataka,Hyderabad,Women,Jackets,59,400656,Rented,2021-02-14,1100,Kenneth Roberts,M85,"92459 Reese River North Amberville, NJ 96825",(765)322-5577,11 AM - 8 PM,13,Available,Alarm,37709,2024-08-27,August,149403,Angel Booth,923,2050,6,4920.0
Zudio,India,Maharashtra,Surat,Men,Tops,64,426510,Rented,2022-02-25,1300,Kara Harris,M32,"245 Travis Villages Suite 603 South Chloe, TN 80318",001-738-846-6518x803,11 AM - 8 PM,13,Not Available,None,80176,2024-02-08,February,207887,Kayla Cordova,704,1708,8,5465.6
Zudio,India,West Bengal,Visakhapatnam,Women,Tops,88,410719,Rented,2022-09-06,1100,Stephanie King,M55,"630 Moore Plaza East Michael, SD 02592",+1-391-835-7280x14970,9 AM - 8 PM,11,Not Available,None,85924,2024-02-14,February,658203,Henry Byrd,732,1809,2,1447.2
Zudio,India,Tamil Nadu,Agra,Kids,Skirts,55,437043,Rented,2020-07-23,1400,Brittany Clark,M81,"424 Samantha Harbors Haileyberg, OH 25946",455-840-0214x75210,11 AM - 8 PM,20,Not Available,Alarm,60477,2024-04-12,April,193574,Robert Williams,708,1546,8,4947.200000000001
Zudio,India,Rajasthan,Bengaluru,Men,Skirts,11,401894,Owned,2020-03-25,1200,Jennifer French,M56,"11157 Jessica Avenue East Robertchester, GA 34955",003.456.8233,9 AM - 8 PM,18,Not Available,None,66994,2024-02-18,February,511838,Ms. Mary Horton,993,1835,6,4404.0
Zudio,India,Delhi,Faridabad,Women,Skirts,100,405273,Rented,2021-10-23,1400,Mr. Christian Baker,M86,"522 Shelley Fort Suite 210 New Nancy, NM 37864",7897018130,10 AM - 9 PM,3,Available,Alarm,97689,2024-07-04,July,923374,Reginald Cook,452,1333,7,3732.4
Zudio,India,Uttar Pradesh,Kolkata,Men,Tops,90,405318,Rented,2024-10-01,1300,George Olson,M72,"72536 Jasmine Forks Apt. 439 East Paulmouth, MN 44671",+1-641-016-3884x4741,11 AM - 8 PM,15,Available,CCTV,65805,2024-07-03,July,436923,Alyssa Stanton,774,2737,8,8758.4
Zudio,India,West Bengal,Pondicherry,Men,T-shirts,62,428594,Rented,2022-10-28,1300,Monica Myers,M8,"9307 Hernandez Lock Apt. 562 Benjaminchester, IA 87028",+1-796-977-1954x986,11 AM - 8 PM,12,Not Available,None,31998,2024-06-03,June,115670,Jonathan Munoz,408,542,7,1517.6000000000001
Zudio,India,Tamil Nadu,Agra,Women,Tops,19,421744,Rented,2023-03-19,1400,Elizabeth Alexander,M32,"371 Anderson Branch Apt. 983 West Cory, OK 81189",001-585-144-6442x2381,9 AM - 8 PM,8,Available,"CCTV, Alarm",33942,2024-07-07,July,191119,Chad Johnson,843,1079,2,863.2
Zudio,India,Tamil Nadu,Varanasi,Women,Hoodies,89,429643,Owned,2024-03-26,1100,Bruce Odonnell,M52,"435 Jennifer Curve Suite 028 Jessicaside, MS 33050",5169534444,10 AM - 7 PM,8,Available,None,17973,2024-03-28,March,452606,Steve Gibson,942,2330,6,5592.0
Zudio,India,Tamil Nadu,Nagpur,Kids,Skirts,73,435479,Rented,2020-02-04,1200,Briana Vaughan,M61,"72473 Daniel Pass South Rebeccaburgh, FL 89243",645-714-9676x0226,10 AM - 9 PM,10,Available,"CCTV, Alarm",58930,2024-04-10,April,483660,Jennifer Nichols,383,700,2,560.0
Zudio,India,Rajasthan,Pondicherry,Women,Dresses,11,404646,Owned,2020-01-15,800,James Brooks,M76,"85356 Cory Estate Apt. 775 Davistown, CO 65845",(888)923-8687,10 AM - 7 PM,16,Available,None,32061,2024-10-27,October,580394,Travis Shaffer,244,2711,1,1084.4
Zudio,India,Karnataka,Hyderabad,Women,Tops,68,427124,Owned,2022-01-25,950,Courtney Smith,M21,"9034 Norman River West Carlborough, UT 15943",927-290-5762x103,10 AM - 7 PM,16,Not Available,Alarm,61955,2024-03-28,March,942937,Melissa Cunningham,881,1388,2,1110.4
Zudio,India,Maharashtra,Jammu,Kids,Jeans,62,405012,Owned,2022-01-17,1200,Natalie Perez,M83,"7718 Cruz Gateway Apt. 331 Lake Matthewburgh, NV 13314",(120)605-6719x14970,10 AM - 9 PM,18,Not Available,None,66616,2024-05-17,May,879926,Vincent Collins,930,1906,6,4574.400000000001
Zudio,India,Gujarat,Chandigarh,Women,T-shirts,79,434573,Rented,2021-10-02,1000,Ethan Howe,M96,"PSC 1255, Box 4578 APO AP 19907",001-063-797-9531x741,10 AM - 7 PM,15,Available,None,37493,2024-02-08,February,202773,Billy Jackson,748,2314,4,3702.4
Zudio,India,Uttar Pradesh,Surat,Kids,T-shirts,27,405113,Owned,2020-02-12,1100,Clayton Gibson,M3,"098 Jon Stravenue Apt. 012 Lake Michael, SC 64279",291-085-5784x9548,11 AM - 8 PM,5,Not Available,Alarm,44194,2024-11-12,November,861720,Shannon Martin,747,2036,6,4886.400000000001
Zudio,India,Rajasthan,Goa,Women,Shirts,91,402039,Owned,2021-05-28,1000,Angela Larson,M3,"4541 Foster Fall Apt. 037 East Mark, CT 21382",142-142-8778,10 AM - 9 PM,11,Available,None,16607,2024-12-01,December,711195,Abigail Coleman,928,2725,8,8720.0
Zudio,India,Karnataka,Hyderabad,Kids,Dresses,44,414111,Owned,2023-12-13,950,Nicole Perez,M71,"5041 Porter Village Greenside, SD 76073",(533)337-8058x313,10 AM - 9 PM,11,Not Available,None,75525,2024-07-31,July,636058,Kurt Hickman,731,1992,4,3187.2000000000003
Zudio,India,Tamil Nadu,Thane,Men,Shoes,56,413637,Owned,2023-10-26,1200,Richard Bryan,M85,"239 Elizabeth Canyon Suite 939 South Monique, ID 66968",+1-967-135-2682,11 AM - 8 PM,3,Available,CCTV,46070,2024-07-23,July,972849,Abigail Wright,277,2608,1,1043.2
Zudio,India,Uttar Pradesh,Mumbai,Women,Hoodies,24,438296,Rented,2024-09-16,800,Katherine Rowland,M72,"0373 Perry Parkway Nguyenchester, SD 99426",483.098.8812x01311,10 AM - 7 PM,16,Available,Alarm,89791,2024-01-30,January,742772,Daniel Ruiz,222,1026,5,2052.0
Zudio,India,Rajasthan,Kanpur,Kids,Dresses,90,424845,Owned,2022-01-14,1200,Monica Maxwell,M11,"3380 Laurie Crescent Barbaraburgh, NJ 17295",661-631-8077x5594,10 AM - 7 PM,12,Available,Alarm,26490,2024-01-18,January,270330,Timothy Rangel,256,1022,4,1635.2
Zudio,India,Maharashtra,Patna,Kids,Shoes,96,431541,Rented,2023-09-07,1000,Elizabeth Scott,M38,"PSC 7154, Box 4514 APO AP 97113",+1-956-278-1580x6387,9 AM - 8 PM,4,Not Available,CCTV,10438,2024-10-16,October,798036,Jessica Moore,630,2640,1,1056.0
